Change;Excluded;Original;en;it
;;Ground Sweep;Ground Sweep;Spazzata di gamba
;;"A slash that targets the
legs to slow enemy movement.";"A slash that targets the
legs to slow enemy movement.";"Un fendente che colpisce le
gambe per rallentare i movimenti del nemico."
;;%1 performs a leg sweep!;%1 performs a leg sweep!;%1 esegue una spazzata di gamba!
;;Flat Strike;Flat Strike;Colpo piatto
;;"A crushing blow with the flat
side of a weapon, potentially causing stunning.";"A crushing blow with the flat
side of a weapon, potentially causing stunning.";"Un colpo devastante con il lato piatto
di un'arma, che può causare stordimento."
;;%1 delivers a flat strike!;%1 delivers a flat strike!;%1 esegue un colpo piatto!
;;Guard Strike;Guard Strike;Colpo d’elsa
;;"A powerful blow using the guard
or hilt to strike at close range.";"A powerful blow using the guard
or hilt to strike at close range.";"Un colpo potente che sfrutta la guardia
o l'elsa per colpire a distanza ravvicinata."
;;%1 performs a guard strike!;%1 performs a guard strike!;%1 esegue un colpo con l’elsa!
;;Diagonal Slash;Diagonal Slash;Taglio diagonale
;;"A powerful diagonal slash
that's difficult to block.";"A powerful diagonal slash
that's difficult to block.";"Un potente fendente diagonale
difficile da bloccare."
;;%1 performs a diagonal slash!;%1 performs a diagonal slash!;%1 esegue una barra diagonale!
;;Cross Slash;Cross Slash;Taglio incrociato
;;"A series of cuts that form
an X pattern on the target.";"A series of cuts that form
an X pattern on the target.";"Una serie di tagli che formano
un motivo a X sul bersaglio."
;;%1 performs cross slashes!;%1 performs cross slashes!;%1 esegue un taglio incrociato!
;;Circular Slash;Circular Slash;Fendente circolare
;;"A series of quick, circular
slashes that can hit multiple enemies.";"A series of quick, circular
slashes that can hit multiple enemies.";"Una serie di rapidi fendenti circolari
che possono colpire più nemici."
;;%1 performs circular slashes!;%1 performs circular slashes!;%1 esegue un fendente circolare!
;;Opportunity Strike;Opportunity Strike;Colpo di opportunità
;;"A calculated strike at the
exact moment the enemy is vulnerable.";"A calculated strike at the
exact moment the enemy is vulnerable.";"Un attacco calcolato nel
momento esatto in cui il nemico è vulnerabile."
;;%1 finds the perfect opening!;%1 finds the perfect opening!;%1 trova l'apertura perfetta!
;;Power Lunge;Power Lunge;Affondo di potenza
;;"A devastating lunge that puts
all power into a single strike.";"A devastating lunge that puts
all power into a single strike.";"Un affondo devastante che concentra
tutta la potenza in un unico colpo."
;;%1 performs a power lunge!;%1 performs a power lunge!;%1 esegue un affondo potente!
;;Master's Technique;Master's Technique;Tecnica del Maestro
;;"The ultimate melee technique combining
multiple movements into one devastating attack.";"The ultimate melee technique combining
multiple movements into one devastating attack.";"La tecnica di combattimento corpo a corpo definitiva che combina
più movimenti in un unico attacco devastante."
;;%1 performs the ultimate technique!;%1 performs the ultimate technique!;%1 esegue la tecnica definitiva!
;;StellarImpact;StellarImpact;Impatto Stellare
;;"Summons a falling star that crashes into enemies,
causing massive light damage to all targets.";"Summons a falling star that crashes into enemies,
causing massive light damage to all targets.";"Evoca una stella cadente che si schianta sui nemici,
causando ingenti danni leggeri a tutti i bersagli."
;;%1 calls down a stellar impact!;%1 calls down a stellar impact!;%1 provoca un impatto stellare!
;;XylomancerJungle;XylomancerJungle;Giungla Xylomante
;;"Commands plants and wooden objects to attack,
dealing Petro-type damage to enemies.";"Commands plants and wooden objects to attack,
dealing Petro-type damage to enemies.";"Comanda alle piante e agli oggetti di legno di attaccare,
infliggendo danni di tipo Metallo ai nemici."
;;%1 commands the wood!;%1 commands the wood!;%1 comanda il legno!
;;YearningVoid;YearningVoid;Vuoto Desiderio
;;"Channels the emptiness of the void, creating a
sense of longing that drains enemies' will to fight.";"Channels the emptiness of the void, creating a
sense of longing that drains enemies' will to fight.";"Incanala il vuoto, creando un
senso di desiderio che prosciuga la volontà di combattere dei nemici."
;;%1 channels the yearning void!;%1 channels the yearning void!;%1 canalizza il vuoto desideroso!
;;BioticHarmony;BioticHarmony;Armonia Biotica
;;"Harmonizes with the natural life energy of allies,
healing and removing negative status effects.";"Harmonizes with the natural life energy of allies,
healing and removing negative status effects.";"Si armonizza con l'energia vitale naturale degli alleati,
guarendo e rimuovendo gli effetti di stato negativi."
;;%1 creates biotic harmony!;%1 creates biotic harmony!;%1 crea armonia biotica!
;;DecompositionRay;DecompositionRay;Decompo Raggio
;;"Fires a beam that accelerates decomposition,
causing damage and lowering COS.";"Fires a beam that accelerates decomposition,
causing damage and lowering COS.";"Spara un raggio che accelera la decomposizione,
causando danni e riducendo il COS."
;;%1 fires a decomposition ray!;%1 fires a decomposition ray!;%1 spara un raggio di decomposizione!
;;EclipseBurst;EclipseBurst;Eclisse Oscura
;;"Creates a sudden burst of shadow energy during
an eclipse, damaging all enemies.";"Creates a sudden burst of shadow energy during
an eclipse, damaging all enemies.";"Crea un'improvvisa esplosione di energia oscura durante
un'eclissi, danneggiando tutti i nemici."
;;%1 channels eclipse energy!;%1 channels eclipse energy!;%1 eclissa l'energia!
;;FracturedTimeline;FracturedTimeline;Frattura Timeline
;;"Branches the timeline, creating alternate versions
of allies that can absorb damage for them.";"Branches the timeline, creating alternate versions
of allies that can absorb damage for them.";"Ramifica la linea temporale, creando versioni alternative
di alleati che possono assorbire i danni per loro."
;;%1 fractures the timeline!;%1 fractures the timeline!;%1 interrompe la sequenza temporale!
;;GlyphicEmpowerment;GlyphicEmpowerment;Potenza Glifica
;;"Empowers allies with ancient glyphs,
providing significant stat boosts.";"Empowers allies with ancient glyphs,
providing significant stat boosts.";"Potenzia gli alleati con antichi glifi,
fornendo significativi potenziamenti alle statistiche."
;;%1 activates ancient glyphs!;%1 activates ancient glyphs!;%1 attiva glifi antichi!
;;Harmonic Dissonance;Harmonic Dissonance;Dissonanza armonica
;;"Creates painfully dissonant tones that damage
enemies and disrupt spellcasting.";"Creates painfully dissonant tones that damage
enemies and disrupt spellcasting.";"Crea toni dolorosamente dissonanti che danneggiano
i nemici e interrompono il lancio degli incantesimi."
;;%1 creates harmonic dissonance!;%1 creates harmonic dissonance!;%1 crea dissonanza armonica!
;;IceBarrage;IceBarrage;Crio Raffica
;;"Fires a barrage of ice shards that
hit all enemies multiple times.";"Fires a barrage of ice shards that
hit all enemies multiple times.";"Spara una raffica di schegge di ghiaccio che
colpiscono tutti i nemici più volte."
;;%1 unleashes ice shards!;%1 unleashes ice shards!;%1 rilascia schegge di ghiaccio!
;;JuxtapositionField;JuxtapositionField;Campo Di Giustapposizione
;;"Creates a field where opposites coexist,
causing confusion and disorientation.";"Creates a field where opposites coexist,
causing confusion and disorientation.";"Crea un campo in cui gli opposti coesistono,
causando confusione e disorientamento."
;;%1 creates a juxtaposition field!;%1 creates a juxtaposition field!;%1 crea un campo di giustapposizione!
;;KaleidoscopicVision;KaleidoscopicVision;Kaleido Visione
;;"Distorts visual perception with kaleidoscopic patterns,
causing confusion and lowering accuracy.";"Distorts visual perception with kaleidoscopic patterns,
causing confusion and lowering accuracy.";"Distorce la percezione visiva con schemi caleidoscopici,
causando confusione e riducendo la precisione."
;;%1 creates kaleidoscopic patterns!;%1 creates kaleidoscopic patterns!;%1 crea motivi caleidoscopici!
;;LuminousTransfiguration;LuminousTransfiguration;Luce Trasfigurante
;;"Transforms an ally's body into luminous energy,
greatly increasing all stats.";"Transforms an ally's body into luminous energy,
greatly increasing all stats.";"Trasforma il corpo di un alleato in energia luminosa,
aumentando notevolmente tutte le statistiche."
;;%1 transforms into luminous energy!;%1 transforms into luminous energy!;%1 si trasforma in energia luminosa!
;;MagneticDisruption;MagneticDisruption;Magne Disgregazione
;;"Disrupts enemies' magnetic fields, causing
nausea and lowering various stats.";"Disrupts enemies' magnetic fields, causing
nausea and lowering various stats.";"Disturba i campi magnetici dei nemici, causando
nausea e riducendo varie statistiche."
;;%1 disrupts magnetic fields!;%1 disrupts magnetic fields!;%1 interrompe i campi magnetici!
;;NecromanticRitual;NecromanticRitual;Necro Rituale
;;"Performs a dark ritual that sacrifices some of the
caster's HP to damage all enemies.";"Performs a dark ritual that sacrifices some of the
caster's HP to damage all enemies.";"Esegue un rituale oscuro che sacrifica parte
dei PV dell'incantatore per danneggiare tutti i nemici."
;;%1 performs a necromantic ritual!;%1 performs a necromantic ritual!;%1 esegue un rituale necromantico!
;;Orbital Strike;Orbital Strike;Raggio orbitale
;;"Calls down a powerful beam from orbit
that devastates a single target.";"Calls down a powerful beam from orbit
that devastates a single target.";"Richiama un potente raggio dall'orbita
che devasta un singolo bersaglio."
;;%1 calls down an orbital strike!;%1 calls down an orbital strike!;%1 richiede un attacco orbitale!
;;PhantasmalLure;PhantasmalLure;Attira Fantasmi
;;"Creates an illusion that lures enemies to
attack a phantom target instead of allies.";"Creates an illusion that lures enemies to
attack a phantom target instead of allies.";"Crea un'illusione che induce i nemici ad
attaccare un bersaglio fantasma invece degli alleati."
;;%1 creates a phantasmal lure!;%1 creates a phantasmal lure!;%1 crea un'esca fantasmagorica!
;;QuintessenceManipulation;QuintessenceManipulation;Manipola Quintessenza
;;"Manipulates the fundamental essence of all things,
restoring HP, MP, and increasing all stats.";"Manipulates the fundamental essence of all things,
restoring HP, MP, and increasing all stats.";"Manipola l'essenza fondamentale di tutte le cose,
restituendo HP, PM e aumentando tutte le statistiche."
;;%1 manipulates quintessence!;%1 manipulates quintessence!;%1 manipola la quintessenza!
;;ResonanceShock;ResonanceShock;Shock Risonanza
;;"Creates a shock wave of resonant energy that
damages enemies and disables magical abilities.";"Creates a shock wave of resonant energy that
damages enemies and disables magical abilities.";"Crea un'onda d'urto di energia risonante che
danneggia i nemici e disattiva le abilità magiche."
;;%1 creates a resonance shock!;%1 creates a resonance shock!;%1 crea uno shock di risonanza!
;;SoulMirror;SoulMirror;Specchi Anima
;;"Creates a mirror reflection of the target's soul,
revealing and potentially reversing status effects.";"Creates a mirror reflection of the target's soul,
revealing and potentially reversing status effects.";"Crea un riflesso speculare dell'anima del bersaglio,
rivelando e potenzialmente annullando gli effetti di stato."
;;%1 creates a soul mirror!;%1 creates a soul mirror!;%1 crea uno specchio dell'anima!
;;TemperatureInversion;TemperatureInversion;Inverti Temperatura
;;"Rapidly alternates between extreme heat and cold,
shattering enemy COSs.";"Rapidly alternates between extreme heat and cold,
shattering enemy COSs.";"Alterna rapidamente caldo e freddo estremi,
distruggendo i COS nemici."
;;%1 inverts temperature!;%1 inverts temperature!;%1 inverte la temperatura!
;;UnderworldPortal;UnderworldPortal;Sotto Portale
;;"Opens a portal to the underworld that damages
enemies and potentially causes instant death.";"Opens a portal to the underworld that damages
enemies and potentially causes instant death.";"Apre un portale per gli inferi che danneggia
i nemici e potenzialmente causa la morte istantanea."
;;%1 opens an underworld portal!;%1 opens an underworld portal!;%1 apre un portale degli inferi!
;;VortexCompression;VortexCompression;Compre Vortice
;;"Compresses a vortex of energy into a tiny space,
creating an explosion that damages all enemies.";"Compresses a vortex of energy into a tiny space,
creating an explosion that damages all enemies.";"Comprime un vortice di energia in uno spazio minuscolo,
creando un'esplosione che danneggia tutti i nemici."
;;%1 compresses a vortex!;%1 compresses a vortex!;%1 comprime un vortice!
;;WillowispSwarm;WillowispSwarm;Sciam Etereo
;;"Summons a swarm of ethereal lights that confuse
and distract enemies while causing damage.";"Summons a swarm of ethereal lights that confuse
and distract enemies while causing damage.";"Evoca uno sciame di luci eteree che confondono
e distraggono i nemici, infliggendo danni."
;;%1 summons wisp swarms!;%1 summons wisp swarms!;%1 evoca sciami di fuochi fatui!
;;NovaFlash;NovaFlash;Nova Flash
;;"Creates a sudden, blinding flash of light that
damages and potentially blinds all enemies.";"Creates a sudden, blinding flash of light that
damages and potentially blinds all enemies.";"Crea un lampo di luce improvviso e accecante che
danneggia e potenzialmente acceca tutti i nemici."
